RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23
394901,147,"Naples, FL",msa,FL,1917.557795,1918.956412,1917.750572,1902.464097,1882.603621,1892.016551,1890.331629,1906.198625,1926.21905,1985.618463,2033.572896,2057.003161,2044.887912,2037.778001,2030.855742,2018.233289,1997.908078,1990.955926,1985.612897,2007.635413,2003.300434,2042.199107,2081.001187,2093.041374,2080.152609,2048.307187,2066.463717,2071.511262,2064.451785,2058.638524,2071.693243,2092.860485,2079.624044,2074.060953,2104.288,2152.313535,2172.991976,2171.609236,2179.374428,2181.689513,2177.759961,2166.060056,2156.927457,2171.795251,2186.464894,2246.542392,2273.41365,2319.38922,2304.360833,2306.164085,2287.551764,2275.696783,2247.108783,2214.600302,2222.265357,2273.574717,2302.425643,2357.941167,2360.833293,2401.576482,2397.987671,2429.045338,2399.93674,2355.916327,2310.603522,2307.947587,2319.685511,2345.063268,2400.915134,2484.056026,2537.970752,2567.980755,2517.667093,2512.062651,2507.813232,2580.228771,2628.002612,2697.061021,2797.575103,2940.965828,3113.316227,3238.776581,3358.505891,3402.439524,3483.859089,3485.670996,3522.313035,3510.361242,3534.144562,3529.631818,3552.891994,3497.564441,3587.461049,3659.228745,3881.773971,3931.244349,3950.97995,3887.671362,3870.646495,3816.712269,3758.094581,3759.876813,3773.398564,3826.061926
394332,148,"Ann Arbor, MI",msa,MI,1243.854673,1268.326381,1264.12857,1274.617077,1284.609721,1290.344601,1285.811695,1272.004335,1276.378038,1280.784673,1296.536097,1297.684315,1303.69547,1296.507577,1292.303131,1291.767639,1296.250288,1309.222054,1316.851408,1336.564465,1347.775834,1355.124172,1352.572075,1348.04233,1353.22892,1357.612428,1364.458342,1365.539998,1377.949452,1386.806735,1397.234586,1401.95429,1410.95169,1411.10806,1406.364173,1404.721264,1407.117646,1416.844953,1430.211694,1440.385634,1450.96104,1450.747373,1454.545469,1447.701493,1448.265467,1446.860441,1447.316573,1448.610012,1475.647412,1495.337783,1507.38929,1501.047834,1498.893706,1504.335697,1499.599752,1501.243524,1496.774234,1501.611235,1495.071001,1497.65849,1497.40423,1517.382611,1522.63561,1523.041002,1512.666816,1519.37818,1521.829679,1522.458197,1518.079601,1520.103982,1527.948948,1540.478561,1550.68324,1567.154406,1564.068149,1580.031884,1582.597365,1603.111204,1621.138894,1654.782897,1677.520373,1676.345131,1674.998542,1681.586947,1701.96963,1712.950135,1725.945638,1741.076461,1768.999855,1788.634731,1820.49856,1839.855809,1847.910568,1825.438863,1816.273374,1826.607232,1833.807762,1840.724365,1834.716656,1845.411506,1846.000364,1855.81385,1883.340671,1886.977485
394927,149,"Ocala, FL",msa,FL,860.0501093,862.1936534,865.9222636,869.6039164,880.6348232,883.2280118,885.4644446,881.0447868,882.606401,886.5557337,896.3586873,900.6994974,899.3532544,903.1153851,910.0383288,919.5814395,927.4967509,926.9435899,928.1479667,928.2629448,938.7844667,942.3192661,945.7499223,949.6009546,952.1290904,950.0202282,953.7963875,958.5111524,965.3069675,978.4668913,991.1844143,1001.466125,1002.770221,1008.597248,1014.432425,1015.688391,1018.189045,1018.199075,1026.771824,1034.413752,1045.689343,1046.601963,1049.612317,1048.584316,1045.798058,1044.778461,1042.789413,1047.423751,1056.999341,1068.223472,1080.179459,1081.844537,1091.953642,1091.543773,1095.440494,1092.824429,1098.06796,1105.594093,1106.953273,1108.119235,1112.499665,1120.601151,1121.956337,1116.408799,1121.312151,1141.559386,1160.979956,1175.626354,1183.114965,1195.229468,1211.83137,1235.765838,1242.931169,1247.052879,1241.222532,1261.123852,1283.698598,1317.757796,1346.010846,1391.554026,1420.651902,1460.550987,1472.180141,1494.574407,1502.260393,1517.005047,1538.512602,1565.523044,1584.458028,1602.838726,1604.521959,1594.659675,1589.219952,1580.800442,1593.37924,1587.837093,1597.293071,1600.479352,1614.098133,1620.97262,1636.752592,1633.69584,1628.646515,1600.406239
394679,150,"Hickory, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.8331326,944.8625235,957.1571216,960.5482416,971.5191045,977.4987455,964.5260471,959.6475478,950.2733657,958.4763126,960.8838178,970.4653183,985.6649469,977.6784482,975.4809545,988.5875481,994.5692025,1003.278819,989.8256502,1007.550368,1011.279258,1030.401135,1040.208296,1052.590056,1029.070577,1038.143825,1046.397546,1081.385938,1101.32784,1137.871684,1171.496426,1207.562,1213.629768,1247.63925,1230.780494,1257.597367,1246.59749,1282.259863,1284.216465,1315.185657,1320.718123,1344.406201,1331.808713,1354.218143,1360.502349,1380.643338,1364.873347,1349.089621,1348.908296,1367.912232,1388.282716,1387.189775,1397.798196,1374.065733,1385.618768,1375.42037
394697,151,"Huntington, WV",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,660.050838,666.8103723,671.3830131,673.5102193,668.6825592,670.4373277,667.8532089,673.6284103,675.6228997,670.1255719,670.2056025,673.9828012,679.6707892,684.0718595,683.8786008,684.966023,688.0261395,681.5406696,680.7882121,675.6758264,681.9948657,683.549436,678.1950633,683.6150779,693.2742268,703.417931,699.6609255,698.7199867,698.9496729,702.1492329,701.0640866,700.6726192,701.7680187,700.5157881,697.5368614,695.9903106,694.873292,705.6306811,709.7352966,717.2150095,720.3769363,728.5883022,728.6264,724.1478451,719.5648002,725.779189,733.631408,742.7420087,743.0078498,737.1105687,738.3737558,742.6539052,749.4890597,753.2788695,763.5552153,764.1903282,774.062966,770.1542749,773.9215467,779.9263139,785.3310742,795.7253309,787.0179708,792.5128757,794.155263,798.6475988,797.518857,804.7061739,804.8892353,805.5867287,806.4884778,829.8676085,838.2305946,856.3623974,840.3694409,846.2425678,833.9977712,846.8851809,853.0257855,861.1933086,856.4345206
394602,152,"Fort Collins, CO",msa,CO,1275.351609,1304.428588,1324.941609,1337.11181,1322.062268,1342.550686,1345.449688,1368.307256,1351.982244,1358.491542,1338.717216,1342.407181,1352.139864,1370.981144,1390.302551,1392.010516,1402.325277,1408.423941,1418.154507,1408.533391,1397.459633,1377.038986,1357.870614,1367.240456,1381.802971,1413.893176,1425.823971,1445.526006,1452.747593,1456.433746,1451.305491,1443.892391,1430.074417,1418.212652,1420.353553,1413.441585,1428.58845,1443.856557,1472.332833,1483.617727,1491.911615,1496.492477,1501.542509,1496.041856,1487.414185,1481.117017,1478.801169,1493.700252,1504.483707,1523.888696,1532.569479,1539.150486,1542.867024,1547.153658,1549.242198,1539.729045,1533.33666,1526.465229,1521.802745,1521.046323,1532.432416,1553.035328,1566.168166,1568.448538,1568.97675,1572.754025,1575.327405,1573.731049,1568.638932,1567.961688,1564.931093,1570.193335,1567.15398,1592.695819,1607.948815,1639.352775,1650.342864,1676.867439,1696.847633,1722.535479,1730.743577,1749.547178,1746.569782,1751.357405,1749.016571,1771.534104,1789.885884,1808.530928,1826.492658,1851.062431,1871.67931,1881.571391,1880.60038,1885.76826,1877.549072,1871.094956,1869.489969,1896.175759,1925.268107,1939.952692,1942.193935,1954.645634,1969.461618,1978.469978
395033,153,"Rockford, IL",msa,IL,681.9641141,685.3746933,676.1439115,679.2920619,686.3300905,705.1336683,705.108294,706.3038611,708.554115,710.9206054,702.5943961,696.2943195,698.4387722,702.4227045,701.8101766,705.6909707,714.1198999,718.8109524,722.8901781,717.6676686,720.6650822,720.4042562,725.6795038,732.8498219,730.9229208,733.4723533,731.4026567,736.2478674,738.5956295,741.7461238,741.3628793,744.0913597,742.4164133,746.0803484,746.8744407,750.6995677,748.3646391,753.9581814,758.4001446,762.8685609,762.6524987,764.8363134,769.0477785,771.6209891,773.0972926,772.4005776,777.2277949,777.8325013,780.5760285,777.1553179,784.7217541,794.1396317,802.4859724,802.2475042,798.8286008,799.1518066,800.6746666,806.8148562,807.919113,811.3303372,813.5106991,815.7094576,818.9770176,822.2167674,827.8829798,834.1144485,838.8159476,846.5660688,854.0362305,858.4016294,860.4812846,864.6390969,876.136217,893.3055328,898.6909605,899.3733283,899.6462067,908.1858735,912.0438819,913.6192585,917.2812443,931.6061948,939.5142385,940.6484495,942.5314897,944.1481469,968.3297429,984.2307983,1004.042971,1002.129556,1001.684999,1001.083154,1007.257385,1016.672607,1015.439005,1016.411509,1009.952345,1016.628286,1032.714714,1045.765742,1060.337974,1059.716768,1068.728078,1080.119101
394796,154,"Lincoln, NE",msa,NE,,,,826.4764818,831.4921521,836.367798,827.5179537,823.843919,823.2509612,834.7433634,831.2430199,,834.2474828,845.3514578,845.6667684,855.2372212,856.2116697,863.9591314,862.3738128,871.3403201,867.4272312,870.9635345,862.6104196,859.9637193,855.4855048,865.6108805,873.1062402,880.6878708,878.8921937,883.8879302,883.3388656,881.8189626,878.199688,881.052493,887.6631779,892.467862,892.4527747,893.4651051,899.7358695,909.7630124,916.5220839,916.9098254,915.8980588,914.9704357,913.160948,912.0111761,911.743196,915.2791635,917.9806609,925.1478288,930.9421798,938.3817259,940.6489284,944.3779276,940.6696279,939.4344464,930.7630689,925.1788492,924.2714397,929.1991598,935.8918664,941.5595049,949.9934136,960.9872154,966.6878602,969.5735618,972.4499183,978.8870067,978.2232854,973.7519825,962.6386923,966.9806617,971.9216798,984.4406245,993.7736152,1003.958013,1015.442698,1023.577358,1035.533315,1043.265512,1050.399981,1049.115975,1049.249639,1052.962355,1062.415411,1068.928277,1075.171278,1089.555879,1105.534982,1127.501941,1132.81348,1137.799541,1129.323698,1135.358245,1137.657563,1144.865032,1144.150013,1151.944525,1161.822236,1173.857502,1182.514773,1190.23762,1200.094435,1207.931147
394622,155,"Gainesville, FL",msa,FL,924.5043309,937.357432,943.302722,951.8678941,952.0947162,948.9513737,948.0233068,945.2710006,952.7212269,958.7720083,970.8297819,974.4452535,976.3948366,979.6063851,983.2987213,990.0329002,990.5834306,991.1408492,993.5765543,991.2167246,992.7265302,999.2448747,1016.293414,1030.245843,1027.824974,1034.752614,1034.458707,1042.396893,1037.95387,1046.26864,1046.846216,1042.365973,1039.784619,1045.287935,1055.934108,1059.637031,1065.727361,1071.572823,1083.529157,1090.616192,1094.959896,1095.216905,1099.271104,1100.609562,1099.22765,1101.326846,1117.251299,1123.216466,1129.618024,1134.206924,1150.346727,1153.499874,1157.293721,1157.875278,1169.424655,1172.519736,1182.276188,1183.707624,1187.634679,1186.37121,1192.189571,1201.510263,1212.411917,1217.65658,1213.890015,1210.271594,1208.397403,1207.09933,1197.690801,1195.523123,1200.269079,1215.494432,1222.388149,1234.681774,1243.29934,1253.509921,1269.294084,1293.538891,1325.289441,1360.223998,1404.585177,1440.724567,1470.833849,1476.293153,1475.743208,1471.318524,1475.880805,1493.802624,1513.310267,1537.695168,1556.650394,1565.633439,1572.07021,1574.251345,1583.841943,1574.571828,1570.545101,1577.32551,1595.487649,1605.153948,1611.817935,1623.629504,1634.796446,1631.377322
394405,156,"Boulder, CO",msa,CO,1476.393089,1500.637748,1507.254702,1520.619206,1531.744698,1554.673789,1574.798334,1596.388538,1595.773719,1594.590978,1580.652093,1579.128378,1591.059939,1600.528438,1629.115308,1629.776566,1640.947624,1627.367516,1629.234201,1618.638907,1627.015087,1607.885834,1610.400931,1598.722775,1625.049772,1641.782322,1667.835621,1679.024843,1687.118738,1695.884013,1700.681368,1703.617763,1694.726048,1688.05987,1685.534247,1705.788181,1713.302221,1728.079542,1727.588017,1743.516091,1753.461606,1766.400315,1778.42255,1783.950035,1776.652748,1772.008298,1768.376256,1774.00596,1785.720134,1796.958608,1807.371612,1815.57931,1828.59749,1832.130434,1834.425776,1829.307687,1829.161965,1825.84311,1834.444141,1843.892608,1848.988732,1854.124123,1860.722982,1854.951568,1847.684882,1849.822635,1866.834275,1871.457469,1870.784231,1870.052719,1872.660052,1873.103441,1883.911992,1892.4142,1912.8221,1933.850031,1967.711106,2011.361334,2040.212494,2064.906628,2062.970416,2069.933796,2069.524686,2076.879126,2087.926555,2114.768083,2149.293346,2177.66595,2173.116288,2181.84136,2184.499977,2208.862262,2216.722482,2227.81381,2232.793005,2222.162217,2224.824968,2230.665828,2247.190766,2257.067854,2277.244583,2293.747238,2315.438278,2318.928965
