Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,30.540001,32.699001,30.280001,30.459999,30.119061,144400
2022-10-10,30.280001,30.379999,28.545000,28.990000,28.665516,220800
2022-10-17,29.700001,30.763000,29.389999,30.430000,30.089397,217900
2022-10-24,29.770000,31.591999,29.110001,30.299999,29.960852,152100
2022-10-31,30.040001,32.389000,29.860001,32.189999,31.829697,99000
2022-11-07,32.330002,34.470001,31.219999,34.450001,34.064404,113100
2022-11-14,33.980000,34.099998,31.719000,31.910999,31.553820,115100
2022-11-21,31.480000,32.008999,31.150000,31.420000,31.068317,111900
2022-11-28,30.990000,33.669998,30.719999,33.650002,33.273357,185000
2022-12-05,33.209999,33.340000,31.620001,31.620001,31.266079,199700
2022-12-12,31.459999,32.505001,30.260000,30.459999,30.119061,175400
2022-12-19,30.520000,30.520000,28.500000,28.500000,28.181000,224700
2022-12-26,28.719999,28.930000,27.299999,28.139999,27.825029,349800
2023-01-02,28.469999,29.285000,27.700001,29.270000,29.270000,163300
2023-01-09,29.629999,31.299999,29.510000,31.020000,31.020000,241200
2023-01-16,30.840000,31.368000,30.084999,31.150000,31.150000,113400
2023-01-23,31.420000,34.299999,31.420000,33.900002,33.900002,322500
2023-01-30,33.540001,34.990002,32.919998,33.540001,33.540001,157300
2023-02-06,33.090000,33.880001,32.110001,32.240002,32.240002,162800
2023-02-13,32.430000,33.049999,31.500999,31.795000,31.795000,103200
2023-02-20,31.540001,31.629999,30.000000,30.110001,30.110001,131500
2023-02-27,30.410000,31.554001,30.000000,31.510000,31.510000,99000
2023-03-06,31.629999,31.629999,28.910000,29.030001,29.030001,106700
2023-03-13,28.799999,29.139999,27.780001,28.139999,28.139999,171300
2023-03-20,28.110001,29.930000,28.110001,29.313000,29.313000,57800
2023-03-27,29.379999,30.680000,29.200001,30.680000,30.680000,73800
2023-04-03,30.559999,30.594999,29.059999,29.230000,29.230000,159800
2023-04-10,29.280001,30.290001,29.280001,30.040001,30.040001,124300
2023-04-17,30.330000,30.830000,28.714001,28.920000,28.920000,114100
2023-04-24,28.840000,29.180000,27.990000,28.850000,28.850000,323800
2023-05-01,28.780001,29.170000,28.170000,29.084999,29.084999,64200
2023-05-08,29.230000,29.549999,28.840000,29.070000,29.070000,156000
2023-05-15,29.430000,29.716000,29.240000,29.459999,29.459999,97000
2023-05-22,29.570000,30.020000,28.719999,29.110001,29.110001,143700
2023-05-29,29.160000,29.957001,28.370001,29.860001,29.860001,55400
2023-06-05,29.730000,29.850000,29.559999,29.660000,29.660000,12500
